,Pre-1973,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
PA,,,,,,,,,,,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
RI,,,,,,,,,,,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
SC,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
SD,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice
TN,,,,,,,,,,,,,,,,,,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
UT,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
VT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,,,,,,,,,,,,,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice
WI,,,,,,,,,,,,,,notice,notice,notice,notice,notice,notice,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
WY,,,,,,,,,,,,,,,,,,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
